"Name","GENC","Year","Life Expectancy at Birth, Males","Life Expectancy at Birth, Females"
"Puerto Rico","PR","2010","75.7","82.9"
"Puerto Rico","PR","2011","75.5","82.8"
"Puerto Rico","PR","2012","75.7","82.8"
"Puerto Rico","PR","2013","76.1","83.5"
"Puerto Rico","PR","2014","76.0","83.3"
"Puerto Rico","PR","2015","77.0","84.1"
"Puerto Rico","PR","2016","77.2","84.3"
"Puerto Rico","PR","2017","77.4","84.4"
"Puerto Rico","PR","2018","77.6","84.5"
"Puerto Rico","PR","2019","77.8","84.6"
"Puerto Rico","PR","2020","78.0","84.7"
"Puerto Rico","PR","2021","78.2","84.9"
"Puerto Rico","PR","2022","78.5","85.1"
"Puerto Rico","PR","2023","78.7","85.3"
"Puerto Rico","PR","2024","78.9","85.5"
"Puerto Rico","PR","2025","79.1","85.7"
"Puerto Rico","PR","2026","79.4","85.8"
"Puerto Rico","PR","2027","79.6","86.0"
"Puerto Rico","PR","2028","79.8","86.2"
"Puerto Rico","PR","2029","80.0","86.4"
"Puerto Rico","PR","2030","80.2","86.6"
"Puerto Rico","PR","2031","80.4","86.7"
"Puerto Rico","PR","2032","80.7","86.9"
"Puerto Rico","PR","2033","80.9","87.1"
"Puerto Rico","PR","2034","81.1","87.2"
"Puerto Rico","PR","2035","81.3","87.4"
"Puerto Rico","PR","2036","81.5","87.6"
"Puerto Rico","PR","2037","81.7","87.7"
"Puerto Rico","PR","2038","81.9","87.9"
"Puerto Rico","PR","2039","82.1","88.1"
"Puerto Rico","PR","2040","82.2","88.2"
"Puerto Rico","PR","2041","82.4","88.4"
"Puerto Rico","PR","2042","82.6","88.5"
"Puerto Rico","PR","2043","82.8","88.7"
"Puerto Rico","PR","2044","83.0","88.8"
"Puerto Rico","PR","2045","83.2","89.0"
"Puerto Rico","PR","2046","83.3","89.1"
"Puerto Rico","PR","2047","83.5","89.3"
"Puerto Rico","PR","2048","83.7","89.4"
"Puerto Rico","PR","2049","83.9","89.6"
"Puerto Rico","PR","2050","84.0","89.7"
"Puerto Rico","PR","2051","84.2","89.9"
"Puerto Rico","PR","2052","84.4","90.0"
"Puerto Rico","PR","2053","84.5","90.1"
"Puerto Rico","PR","2054","84.7","90.3"
"Puerto Rico","PR","2055","84.9","90.4"
"Puerto Rico","PR","2056","85.0","90.5"
"Puerto Rico","PR","2057","85.2","90.7"
"Puerto Rico","PR","2058","85.3","90.8"
"Puerto Rico","PR","2059","85.5","90.9"
"Puerto Rico","PR","2060","85.6","91.0"
"Puerto Rico","PR","2061","85.8","91.2"
"Puerto Rico","PR","2062","85.9","91.3"
"Puerto Rico","PR","2063","86.1","91.4"
"Puerto Rico","PR","2064","86.2","91.5"
"Puerto Rico","PR","2065","86.3","91.7"
"Puerto Rico","PR","2066","86.5","91.8"
"Puerto Rico","PR","2067","86.6","91.9"
"Puerto Rico","PR","2068","86.7","92.0"
"Puerto Rico","PR","2069","86.9","92.1"
"Puerto Rico","PR","2070","87.0","92.2"
"Puerto Rico","PR","2071","87.1","92.3"
"Puerto Rico","PR","2072","87.3","92.4"
"Puerto Rico","PR","2073","87.4","92.5"
"Puerto Rico","PR","2074","87.5","92.7"
"Puerto Rico","PR","2075","87.6","92.8"
"Puerto Rico","PR","2076","87.7","92.9"
"Puerto Rico","PR","2077","87.9","93.0"
"Puerto Rico","PR","2078","88.0","93.1"
"Puerto Rico","PR","2079","88.1","93.2"
"Puerto Rico","PR","2080","88.2","93.3"
"Puerto Rico","PR","2081","88.3","93.4"
"Puerto Rico","PR","2082","88.4","93.5"
"Puerto Rico","PR","2083","88.5","93.6"
"Puerto Rico","PR","2084","88.6","93.6"
"Puerto Rico","PR","2085","88.7","93.7"
"Puerto Rico","PR","2086","88.8","93.8"
"Puerto Rico","PR","2087","88.9","93.9"
"Puerto Rico","PR","2088","89.0","94.0"
"Puerto Rico","PR","2089","89.1","94.1"
"Puerto Rico","PR","2090","89.2","94.2"
"Puerto Rico","PR","2091","89.3","94.3"
"Puerto Rico","PR","2092","89.4","94.3"
"Puerto Rico","PR","2093","89.5","94.4"
"Puerto Rico","PR","2094","89.6","94.5"
"Puerto Rico","PR","2095","89.7","94.6"
"Puerto Rico","PR","2096","89.8","94.7"
"Puerto Rico","PR","2097","89.9","94.7"
"Puerto Rico","PR","2098","90.0","94.8"
"Puerto Rico","PR","2099","90.0","94.9"
"Puerto Rico","PR","2100","90.1","95.0"
