year,ex,x,sex,source,upper,lower
2010,75.7,0,Male,IDB,,
2011,75.5,0,Male,IDB,,
2012,75.7,0,Male,IDB,,
2013,76.1,0,Male,IDB,,
2014,76,0,Male,IDB,,
2015,77,0,Male,IDB,,
2016,77.2,0,Male,IDB,,
2017,77.4,0,Male,IDB,,
2018,77.6,0,Male,IDB,,
2019,77.8,0,Male,IDB,,
2020,78,0,Male,IDB,,
2021,78.2,0,Male,IDB,,
2022,78.5,0,Male,IDB,,
2023,78.7,0,Male,IDB,,
2024,78.9,0,Male,IDB,,
2025,79.1,0,Male,IDB,,
2026,79.4,0,Male,IDB,,
2027,79.6,0,Male,IDB,,
2028,79.8,0,Male,IDB,,
2029,80,0,Male,IDB,,
2030,80.2,0,Male,IDB,,
2031,80.4,0,Male,IDB,,
2032,80.7,0,Male,IDB,,
2033,80.9,0,Male,IDB,,
2034,81.1,0,Male,IDB,,
2035,81.3,0,Male,IDB,,
2036,81.5,0,Male,IDB,,
2037,81.7,0,Male,IDB,,
2038,81.9,0,Male,IDB,,
2039,82.1,0,Male,IDB,,
2040,82.2,0,Male,IDB,,
2041,82.4,0,Male,IDB,,
2042,82.6,0,Male,IDB,,
2043,82.8,0,Male,IDB,,
2044,83,0,Male,IDB,,
2045,83.2,0,Male,IDB,,
2046,83.3,0,Male,IDB,,
2047,83.5,0,Male,IDB,,
2048,83.7,0,Male,IDB,,
2049,83.9,0,Male,IDB,,
2050,84,0,Male,IDB,,
2051,84.2,0,Male,IDB,,
2052,84.4,0,Male,IDB,,
2053,84.5,0,Male,IDB,,
2054,84.7,0,Male,IDB,,
2055,84.9,0,Male,IDB,,
2056,85,0,Male,IDB,,
2057,85.2,0,Male,IDB,,
2058,85.3,0,Male,IDB,,
2059,85.5,0,Male,IDB,,
2060,85.6,0,Male,IDB,,
2061,85.8,0,Male,IDB,,
2062,85.9,0,Male,IDB,,
2063,86.1,0,Male,IDB,,
2064,86.2,0,Male,IDB,,
2065,86.3,0,Male,IDB,,
2066,86.5,0,Male,IDB,,
2067,86.6,0,Male,IDB,,
2068,86.7,0,Male,IDB,,
2069,86.9,0,Male,IDB,,
2070,87,0,Male,IDB,,
2071,87.1,0,Male,IDB,,
2072,87.3,0,Male,IDB,,
2073,87.4,0,Male,IDB,,
2074,87.5,0,Male,IDB,,
2075,87.6,0,Male,IDB,,
2076,87.7,0,Male,IDB,,
2077,87.9,0,Male,IDB,,
2078,88,0,Male,IDB,,
2079,88.1,0,Male,IDB,,
2080,88.2,0,Male,IDB,,
2081,88.3,0,Male,IDB,,
2082,88.4,0,Male,IDB,,
2083,88.5,0,Male,IDB,,
2084,88.6,0,Male,IDB,,
2085,88.7,0,Male,IDB,,
2086,88.8,0,Male,IDB,,
2087,88.9,0,Male,IDB,,
2088,89,0,Male,IDB,,
2089,89.1,0,Male,IDB,,
2090,89.2,0,Male,IDB,,
2091,89.3,0,Male,IDB,,
2092,89.4,0,Male,IDB,,
2093,89.5,0,Male,IDB,,
2094,89.6,0,Male,IDB,,
2095,89.7,0,Male,IDB,,
2096,89.8,0,Male,IDB,,
2097,89.9,0,Male,IDB,,
2098,90,0,Male,IDB,,
2099,90,0,Male,IDB,,
