Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,sex
All Population,Puerto Rico,1990,<1 year,Female,All causes,Life expectancy,78.15821305302603,77.85402257493303,78.45714719180998,male
All Population,Puerto Rico,1991,<1 year,Female,All causes,Life expectancy,78.3193932988261,78.0201633244315,78.60635421320518,male
All Population,Puerto Rico,1992,<1 year,Female,All causes,Life expectancy,78.3897865346648,78.07156674199366,78.69206808931823,male
All Population,Puerto Rico,1993,<1 year,Female,All causes,Life expectancy,78.33959234251914,78.03130556205109,78.66304984105645,male
All Population,Puerto Rico,1994,<1 year,Female,All causes,Life expectancy,78.57550340633945,78.27406544299998,78.87730817940283,male
All Population,Puerto Rico,1995,<1 year,Female,All causes,Life expectancy,78.40587106726134,78.08340585919456,78.68757544001514,male
All Population,Puerto Rico,1996,<1 year,Female,All causes,Life expectancy,78.48094659317177,78.1869065054935,78.77308244034845,male
All Population,Puerto Rico,1997,<1 year,Female,All causes,Life expectancy,79.35038913826433,79.01440834727138,79.68257851862455,male
All Population,Puerto Rico,1998,<1 year,Female,All causes,Life expectancy,79.30133196870494,78.98907285612239,79.61710748890067,male
All Population,Puerto Rico,1999,<1 year,Female,All causes,Life expectancy,79.87615245161516,79.52652853339633,80.18522443850112,male
All Population,Puerto Rico,2000,<1 year,Female,All causes,Life expectancy,80.17727552831431,79.8608218947938,80.51239948853524,male
All Population,Puerto Rico,2001,<1 year,Female,All causes,Life expectancy,80.46158134187996,80.09911532280682,80.79486818748035,male
All Population,Puerto Rico,2002,<1 year,Female,All causes,Life expectancy,81.12348481948098,80.80647380002493,81.46722952910663,male
All Population,Puerto Rico,2003,<1 year,Female,All causes,Life expectancy,81.19184749243244,80.84732319006496,81.52342732204679,male
All Population,Puerto Rico,2004,<1 year,Female,All causes,Life expectancy,81.30348013137893,80.97126832872294,81.65843418685593,male
All Population,Puerto Rico,2005,<1 year,Female,All causes,Life expectancy,81.73946191443474,81.38389414059245,82.11010992003816,male
All Population,Puerto Rico,2006,<1 year,Female,All causes,Life expectancy,82.27796628606465,81.930291548304,82.64195627646679,male
All Population,Puerto Rico,2007,<1 year,Female,All causes,Life expectancy,82.45524384427276,82.06525511460708,82.80658682713158,male
All Population,Puerto Rico,2008,<1 year,Female,All causes,Life expectancy,82.57082027061611,82.21302299105119,82.94506086547096,male
All Population,Puerto Rico,2009,<1 year,Female,All causes,Life expectancy,82.74999186519888,82.35508287989472,83.14228020006355,male
All Population,Puerto Rico,2010,<1 year,Female,All causes,Life expectancy,83.22630363105675,82.82977895555462,83.614086959156,male
All Population,Puerto Rico,2011,<1 year,Female,All causes,Life expectancy,82.81281848123933,82.43462862781334,83.21150577687061,male
All Population,Puerto Rico,2012,<1 year,Female,All causes,Life expectancy,83.68763894131031,83.28003844804124,84.09625164185283,male
All Population,Puerto Rico,2013,<1 year,Female,All causes,Life expectancy,83.56661174595924,83.16957096552036,83.97797689759626,male
All Population,Puerto Rico,2014,<1 year,Female,All causes,Life expectancy,83.85913870977954,83.47212990964566,84.29431055935918,male
All Population,Puerto Rico,2015,<1 year,Female,All causes,Life expectancy,84.75071556211711,84.3147637932874,85.1742132596984,male
All Population,Puerto Rico,2016,<1 year,Female,All causes,Life expectancy,84.25082649477909,83.80621693809594,84.69206245593281,male
All Population,Puerto Rico,2017,<1 year,Female,All causes,Life expectancy,82.65420644899463,76.21310249573527,84.57298922912916,male
All Population,Puerto Rico,2018,<1 year,Female,All causes,Life expectancy,85.51740573189605,85.04563691196643,85.97058621748036,male
All Population,Puerto Rico,2019,<1 year,Female,All causes,Life expectancy,85.1010178510986,84.62178435748706,85.61996694171123,male
All Population,Puerto Rico,2020,<1 year,Female,All causes,Life expectancy,84.67815556679885,84.18344677550434,85.21406660214113,male
All Population,Puerto Rico,2021,<1 year,Female,All causes,Life expectancy,84.47761827349352,82.75507581339284,86.36737911836322,male
All Population,Puerto Rico,2022,<1 year,Female,All causes,Life expectancy,84.41303669512077,82.8300270692229,85.98208020297506,male
All Population,Puerto Rico,2023,<1 year,Female,All causes,Life expectancy,84.9297602877287,83.29761100812297,86.53239668973461,male
All Population,Puerto Rico,2024,<1 year,Female,All causes,Life expectancy,85.14110870444536,83.52910980015585,86.71421742428842,male
All Population,Puerto Rico,2025,<1 year,Female,All causes,Life expectancy,85.33142383411072,83.71913994798497,86.95137000282287,male
All Population,Puerto Rico,2026,<1 year,Female,All causes,Life expectancy,85.54732327021289,83.93040614882098,87.13888092445777,male
All Population,Puerto Rico,2027,<1 year,Female,All causes,Life expectancy,85.75385210004677,84.13530081489937,87.26459226452126,male
All Population,Puerto Rico,2028,<1 year,Female,All causes,Life expectancy,85.93008091168848,84.28918141497564,87.4776997001806,male
All Population,Puerto Rico,2029,<1 year,Female,All causes,Life expectancy,86.09026314358839,84.37803495636773,87.70505440525456,male
All Population,Puerto Rico,2030,<1 year,Female,All causes,Life expectancy,86.30002812546586,84.63962860611039,87.92809221776305,male
All Population,Puerto Rico,2031,<1 year,Female,All causes,Life expectancy,86.39674644097015,84.7468952655767,88.00104462547594,male
All Population,Puerto Rico,2032,<1 year,Female,All causes,Life expectancy,86.45851715618609,84.76180704856334,88.09889238549762,male
All Population,Puerto Rico,2033,<1 year,Female,All causes,Life expectancy,86.55199885492192,84.7579523940047,88.16510416963477,male
All Population,Puerto Rico,2034,<1 year,Female,All causes,Life expectancy,86.61896970569822,84.86974719722586,88.26770959617666,male
All Population,Puerto Rico,2035,<1 year,Female,All causes,Life expectancy,86.71440192113204,84.94433381094892,88.36423938412102,male
All Population,Puerto Rico,2036,<1 year,Female,All causes,Life expectancy,86.75433197708836,84.929017769062,88.46685451901229,male
All Population,Puerto Rico,2037,<1 year,Female,All causes,Life expectancy,86.78574272771114,84.8572336477071,88.49898498502058,male
All Population,Puerto Rico,2038,<1 year,Female,All causes,Life expectancy,86.88194798888954,85.05057682127756,88.5002805613984,male
All Population,Puerto Rico,2039,<1 year,Female,All causes,Life expectancy,86.90699396930539,84.94532577112862,88.58354347496336,male
All Population,Puerto Rico,2040,<1 year,Female,All causes,Life expectancy,86.97489383540668,85.0094465367804,88.64599972712062,male
All Population,Puerto Rico,2041,<1 year,Female,All causes,Life expectancy,87.01052137567216,84.9573436298142,88.69942957808202,male
All Population,Puerto Rico,2042,<1 year,Female,All causes,Life expectancy,86.96667936683096,84.98556667938847,88.73016417281673,male
All Population,Puerto Rico,2043,<1 year,Female,All causes,Life expectancy,87.07678297400751,84.9759469583779,88.82092472496576,male
All Population,Puerto Rico,2044,<1 year,Female,All causes,Life expectancy,87.11904896457241,85.13262599790731,88.87067309651403,male
All Population,Puerto Rico,2045,<1 year,Female,All causes,Life expectancy,87.16817653317963,85.05048866397014,88.93991158053217,male
All Population,Puerto Rico,2046,<1 year,Female,All causes,Life expectancy,87.16997173639277,85.01275470919407,88.9503372997847,male
All Population,Puerto Rico,2047,<1 year,Female,All causes,Life expectancy,87.19494989416644,85.0985650509265,88.99485866044714,male
All Population,Puerto Rico,2048,<1 year,Female,All causes,Life expectancy,87.15642884036033,84.92015511575208,89.04099463859944,male
All Population,Puerto Rico,2049,<1 year,Female,All causes,Life expectancy,87.20905771564044,84.96121960766301,89.02139880660862,male
All Population,Puerto Rico,2050,<1 year,Female,All causes,Life expectancy,87.23928898856941,85.01135405290718,89.13099049464716,male
All Population,Puerto Rico,1990,<1 year,Male,All causes,Life expectancy,69.81200059047575,69.48710267701563,70.1066904207855,female
All Population,Puerto Rico,1991,<1 year,Male,All causes,Life expectancy,69.76277397356291,69.45614268448321,70.05847741628706,female
All Population,Puerto Rico,1992,<1 year,Male,All causes,Life expectancy,69.49152346269112,69.16419098293652,69.79310080753864,female
All Population,Puerto Rico,1993,<1 year,Male,All causes,Life expectancy,69.31149623875265,69.00110121189654,69.61215317463247,female
All Population,Puerto Rico,1994,<1 year,Male,All causes,Life expectancy,69.51538844189571,69.20113766217214,69.80974990519731,female
All Population,Puerto Rico,1995,<1 year,Male,All causes,Life expectancy,69.15525620045204,68.84498527018647,69.47242030987591,female
All Population,Puerto Rico,1996,<1 year,Male,All causes,Life expectancy,69.9512416259262,69.61957449199834,70.284622278309,female
All Population,Puerto Rico,1997,<1 year,Male,All causes,Life expectancy,71.04908618959027,70.71767324240457,71.36538228939399,female
All Population,Puerto Rico,1998,<1 year,Male,All causes,Life expectancy,70.98930639236876,70.67902454239012,71.32126307257496,female
All Population,Puerto Rico,1999,<1 year,Male,All causes,Life expectancy,72.12838563341123,71.81779994723217,72.4476387744853,female
All Population,Puerto Rico,2000,<1 year,Male,All causes,Life expectancy,72.6112328266574,72.26756028417299,72.93920614033033,female
All Population,Puerto Rico,2001,<1 year,Male,All causes,Life expectancy,72.34617814218768,72.05381504071147,72.66340016555452,female
All Population,Puerto Rico,2002,<1 year,Male,All causes,Life expectancy,73.46509366790042,73.11483405524378,73.81551242133897,female
All Population,Puerto Rico,2003,<1 year,Male,All causes,Life expectancy,73.98856399588814,73.65563998263595,74.32447526554716,female
All Population,Puerto Rico,2004,<1 year,Male,All causes,Life expectancy,74.09999545036044,73.75772063107935,74.42821060935937,female
All Population,Puerto Rico,2005,<1 year,Male,All causes,Life expectancy,74.03902317032616,73.69204099534367,74.37496795028561,female
All Population,Puerto Rico,2006,<1 year,Male,All causes,Life expectancy,74.49990764720917,74.14827691558654,74.85459899820353,female
All Population,Puerto Rico,2007,<1 year,Male,All causes,Life expectancy,74.85954771918792,74.5122279960362,75.19242477941876,female
All Population,Puerto Rico,2008,<1 year,Male,All causes,Life expectancy,75.20284131868755,74.81771629315729,75.55490126704099,female
All Population,Puerto Rico,2009,<1 year,Male,All causes,Life expectancy,74.89045153530209,74.53507015143747,75.2395014929281,female
All Population,Puerto Rico,2010,<1 year,Male,All causes,Life expectancy,75.7771214722891,75.39404937918644,76.16625056555544,female
All Population,Puerto Rico,2011,<1 year,Male,All causes,Life expectancy,75.20524778766989,74.8549257322961,75.59883994067707,female
All Population,Puerto Rico,2012,<1 year,Male,All causes,Life expectancy,75.98093354237058,75.59706788724084,76.3436481029524,female
All Population,Puerto Rico,2013,<1 year,Male,All causes,Life expectancy,76.11147615993143,75.74498107776498,76.48895026279769,female
All Population,Puerto Rico,2014,<1 year,Male,All causes,Life expectancy,76.91438282864999,76.51889494526768,77.30386642712853,female
All Population,Puerto Rico,2015,<1 year,Male,All causes,Life expectancy,77.51122763329013,77.11090777273658,77.89605737356484,female
All Population,Puerto Rico,2016,<1 year,Male,All causes,Life expectancy,77.36152193089681,76.95079836486289,77.75965890470043,female
All Population,Puerto Rico,2017,<1 year,Male,All causes,Life expectancy,75.35088068371805,71.7109975346638,76.55302915958478,female
All Population,Puerto Rico,2018,<1 year,Male,All causes,Life expectancy,77.4062315225251,76.96248279706143,77.84768596975788,female
All Population,Puerto Rico,2019,<1 year,Male,All causes,Life expectancy,77.3147070048604,76.85628440692578,77.7623103405754,female
All Population,Puerto Rico,2020,<1 year,Male,All causes,Life expectancy,76.57713979356657,76.12865598631271,77.00331530465184,female
All Population,Puerto Rico,2021,<1 year,Male,All causes,Life expectancy,76.62330413899744,74.364468163508,79.0761981617045,female
All Population,Puerto Rico,2022,<1 year,Male,All causes,Life expectancy,76.74689943118932,74.69305815225731,78.87920847740396,female
All Population,Puerto Rico,2023,<1 year,Male,All causes,Life expectancy,77.38203902596096,75.25935960262304,79.58034919921128,female
All Population,Puerto Rico,2024,<1 year,Male,All causes,Life expectancy,77.6669132986219,75.5549996924238,79.77787178559915,female
All Population,Puerto Rico,2025,<1 year,Male,All causes,Life expectancy,77.93585352835159,75.83575963391749,80.08739436046952,female
All Population,Puerto Rico,2026,<1 year,Male,All causes,Life expectancy,78.21929867218785,76.10771971928321,80.31450344210705,female
All Population,Puerto Rico,2027,<1 year,Male,All causes,Life expectancy,78.52775746970151,76.47543447036577,80.54513738484226,female
All Population,Puerto Rico,2028,<1 year,Male,All causes,Life expectancy,78.79585817543422,76.75347194177694,80.89313280704359,female
All Population,Puerto Rico,2029,<1 year,Male,All causes,Life expectancy,79.02230048261482,76.84882671093173,81.2406107828188,female
All Population,Puerto Rico,2030,<1 year,Male,All causes,Life expectancy,79.31387209882173,77.17359592261606,81.5318849694073,female
All Population,Puerto Rico,2031,<1 year,Male,All causes,Life expectancy,79.46945922142427,77.2747820258144,81.69063646525254,female
All Population,Puerto Rico,2032,<1 year,Male,All causes,Life expectancy,79.5801591986407,77.39164108644216,81.85435986293635,female
All Population,Puerto Rico,2033,<1 year,Male,All causes,Life expectancy,79.72128234952349,77.57570518653017,81.9264203494056,female
All Population,Puerto Rico,2034,<1 year,Male,All causes,Life expectancy,79.85027987593104,77.76656201402137,82.04222377244507,female
All Population,Puerto Rico,2035,<1 year,Male,All causes,Life expectancy,79.991404199473,77.90377559573528,82.17864832867942,female
All Population,Puerto Rico,2036,<1 year,Male,All causes,Life expectancy,80.07115110163367,77.97155129016355,82.25100906643164,female
All Population,Puerto Rico,2037,<1 year,Male,All causes,Life expectancy,80.13113470845161,77.87627715971024,82.35052506984896,female
All Population,Puerto Rico,2038,<1 year,Male,All causes,Life expectancy,80.28573714685423,78.16752048477609,82.45290445666177,female
All Population,Puerto Rico,2039,<1 year,Male,All causes,Life expectancy,80.33747591589095,78.05495531206593,82.57802517488736,female
All Population,Puerto Rico,2040,<1 year,Male,All causes,Life expectancy,80.44147506785264,78.24203415276773,82.67336978409314,female
All Population,Puerto Rico,2041,<1 year,Male,All causes,Life expectancy,80.54618526998556,78.31985356924206,82.74425176526795,female
All Population,Puerto Rico,2042,<1 year,Male,All causes,Life expectancy,80.53922538529719,78.37530648648996,82.8553848015571,female
All Population,Puerto Rico,2043,<1 year,Male,All causes,Life expectancy,80.70361226445048,78.53336792803393,82.85707955075725,female
All Population,Puerto Rico,2044,<1 year,Male,All causes,Life expectancy,80.79103202461941,78.62754359260096,83.02786556199632,female
All Population,Puerto Rico,2045,<1 year,Male,All causes,Life expectancy,80.88604020620132,78.70619363752758,83.14515200365739,female
All Population,Puerto Rico,2046,<1 year,Male,All causes,Life expectancy,80.92246040767075,78.66077521459958,83.20466129867702,female
All Population,Puerto Rico,2047,<1 year,Male,All causes,Life expectancy,80.9982005404046,78.78116131854148,83.26948383828909,female
All Population,Puerto Rico,2048,<1 year,Male,All causes,Life expectancy,80.98499666306634,78.63101465041679,83.28732582286396,female
All Population,Puerto Rico,2049,<1 year,Male,All causes,Life expectancy,81.09277441548898,78.74349637407484,83.348333000453,female
All Population,Puerto Rico,2050,<1 year,Male,All causes,Life expectancy,81.16623378944318,78.8348109224225,83.3567859457389,female
