age,sex,q_0025,q_0500,q_0975
0,female,-0.0243961868506424,0.00428349231808323,0.0320138556516214
0,male,-0.0385775629905634,-0.00100405368828183,0.0455682662372442
1,female,-0.059467246077555,0.0105051463210359,0.0964937430823505
1,male,-0.116390022417107,0.0304687456361838,0.154676821193746
5,female,-0.0631862336926398,0.0375527370370694,0.123632279171072
5,male,-0.0581073620168615,0.0561867282833726,0.160394106369158
10,female,-0.0784437153987192,0.0374340777313149,0.133538692601941
10,male,-0.0769845497173769,-0.00480695639212536,0.111214698621427
15,female,-0.0521162909821925,0.0261236945928185,0.0821155377980618
15,male,-0.0494175610048266,-0.00544830151895681,0.0318159476083421
20,female,-0.0687232817330081,0.00646441719482205,0.0711263628057209
20,male,-0.0345431572623619,0.000619144738017941,0.0370712462837999
25,female,-0.0418079993116402,0.0117281681963086,0.0683818964126299
25,male,-0.0564254116579134,-0.00141125424804178,0.0301330680291864
30,female,-0.0493420334676363,0.00729229380383423,0.0489514677423312
30,male,-0.0381464502285578,0.00138871285565223,0.040221848614171
35,female,-0.0512604235134909,0.00850703703563172,0.0621812161075609
35,male,-0.0302239090254104,0.00162417288468353,0.0224615759190675
40,female,-0.0292945143015823,0.00549633714564646,0.0514178768559365
40,male,-0.0259284243886431,0.0027451280127293,0.0325006626940756
45,female,-0.027016402038335,0.00365160933103725,0.0270407509159755
45,male,-0.0255736118443609,-0.0014683360950265,0.032258595132358
50,female,-0.0377789048819784,0.00235557602842951,0.0253130572194342
50,male,-0.0263836509679228,-0.00174557641904727,0.0166971513507555
55,female,-0.0239491626972081,0.000684800792876139,0.0244512727972296
55,male,-0.0244044307527812,-0.00241901876579442,0.0277025664287456
60,female,-0.0242863301618895,0.000501202624943353,0.0235498432735307
60,male,-0.0226823542501686,-0.00022616126713082,0.0236136201985478
65,female,-0.0181889172325554,0.000200887374014691,0.0165572042741158
65,male,-0.0178984662574615,-0.00249947317719745,0.0233006174891514
70,female,-0.0137605687866684,0.00255419108538235,0.0205950639359898
70,male,-0.0171132782143409,-0.00162685316483757,0.0205990528190954
75,female,-0.0146613900026487,0.00208921988800981,0.015652195266688
75,male,-0.017817531543007,0.00153135448910913,0.0176860827515653
80,female,-0.0138269328806856,-0.000147062581113522,0.0155336419318805
80,male,-0.0172999954353989,0.00077070891940223,0.0212944602740883
85,female,-0.0114907528700708,-3.89918864517336e-05,0.0103446210228805
85,male,-0.0125989013267116,-0.000860810328706219,0.015996822828946
