age,sex,q_0025,q_0500,q_0975
0,female,-0.00186171827433202,0.000451715204400328,0.00326495973636637
0,male,-0.00647609184655619,0.000953496399040618,0.00512673573130288
1,female,-0.00621923238202283,-0.000249181931858231,0.00589085719344279
1,male,-0.0159826820126337,-0.00222626398690118,0.0127065024665048
5,female,-0.00821027458912955,-0.00254536798841435,0.00584705318368936
5,male,-0.0176582317530518,-0.00443805488555206,0.0119136140492401
10,female,-0.0109932177475932,-0.00248242916413265,0.00670232214636144
10,male,-0.0157900706515227,0.000935023613598658,0.0109813994280454
15,female,-0.00674924509335788,-0.000451564275385216,0.00474416002322491
15,male,-0.00925451265592147,0.00113608875820511,0.00959418316033178
20,female,-0.00578339796005204,0.000831738481437784,0.00675842923733904
20,male,-0.0061167164654834,0.000679396741665864,0.00580184969700052
25,female,-0.00476308680860547,-0.000817124817851764,0.00516722820252612
25,male,-0.00736276385932062,0.000176008050087615,0.00661178659617361
30,female,-0.00612051565548548,0.000696119304476772,0.00412477913911692
30,male,-0.00452046257714549,0.000721498519693553,0.00616519197384285
35,female,-0.00514724752639868,0.000202430665094542,0.00473849407878159
35,male,-0.00694467124272329,-0.000360404657871667,0.00652648105969465
40,female,-0.00189055311436186,0.000842950527290616,0.00500625352148744
40,male,-0.00447675468752936,0.00153821996723409,0.00579969047374037
45,female,-0.00430941463711299,0.000109514300217002,0.00371110569594321
45,male,-0.00531040631877256,0.000460841634982435,0.00486880620724548
50,female,-0.00234364598593693,0.000397778957162734,0.00370097091567787
50,male,-0.00414348354274462,-0.000212150187491159,0.00473981443748336
55,female,-0.00244658126593419,-6.85486797650254e-05,0.00231662302067294
55,male,-0.0036239230362111,0.000304009373751222,0.00400848199624176
60,female,-0.00163767519697015,0.000356216255744463,0.00277507624129441
60,male,-0.00318779530822418,0.000262137835647368,0.00460815212757168
65,female,-0.00198241319954117,0.000442993511853427,0.00220844180731306
65,male,-0.0027077834309679,0.000615979409979187,0.00347109745841252
70,female,-0.00152006696947711,0.000408858339128435,0.0029438001881509
70,male,-0.00289410996572749,-9.27801841799393e-05,0.00353732631296791
75,female,-0.000829206444678442,0.000400629087062579,0.00218693159601652
75,male,-0.00303000778143068,0.00018995134828861,0.00422332484311501
80,female,-0.00207620364564713,8.64870689292717e-05,0.00186028869774931
80,male,-0.00236413111324664,0.000622996663321442,0.00315637181107361
85,female,-0.00108141689483053,0.000456629627000832,0.00134276787600879
85,male,-0.00219342270882322,0.000350347704061319,0.00325909549920038
