sex,year,kt
male,1950,11.4704613403869
male,1951,11.5476573023188
male,1952,11.0293930482628
male,1953,10.0871109690584
male,1954,9.24203598243054
male,1955,8.5011340540283
male,1956,8.38377034962499
male,1957,7.6820176648886
male,1958,7.87664269155883
male,1959,7.40536439843307
male,1960,6.86904828167475
male,1961,6.65287981211953
male,1962,6.82378117382979
male,1963,7.00634908884037
male,1964,7.89787223082566
male,1965,6.67607837735303
male,1966,5.41945954969427
male,1967,4.77981755066327
male,1968,4.39668980979266
male,1969,4.08128881955123
male,1970,4.1822548459695
male,1971,3.65405702553029
male,1972,3.92315537033628
male,1973,3.24004382209114
male,1974,2.71504483692152
male,1975,2.2815116537615
male,1976,2.43559201359904
male,1977,2.14608961106645
male,1978,1.72805930657561
male,1979,1.78930890166682
male,1980,1.41886455066629
male,1981,1.5216724337914
male,1982,0.687988469509422
male,1983,0.474708684042835
male,1984,-0.239491127955147
male,1985,0.511374247793124
male,1986,0.0928254104626593
male,1987,0.144259318342968
male,1988,0.311593484170845
male,1989,0.801866253004894
male,1990,0.614251005299995
male,1991,0.279795236736959
male,1992,0.544946260442506
male,1993,0.757059594992798
male,1994,-0.00670343073108607
male,1995,1.02736085307523
male,1996,0.0625334253712859
male,1997,-0.792888703628254
male,1998,-0.652778230035565
male,1999,-1.77605033014953
male,2000,-2.85612788166933
male,2001,-2.82162521529803
male,2002,-4.30602466661275
male,2003,-4.8205156306222
male,2004,-4.78943405625766
male,2005,-4.77290286478199
male,2006,-6.51697283631474
male,2007,-6.19822491759363
male,2008,-7.03783002581719
male,2009,-7.01389288044222
male,2010,-8.13255221147427
male,2011,-8.03882427288622
male,2012,-8.99325885690757
male,2013,-10.4728215478017
male,2014,-9.97474904792786
male,2015,-13.2140538445556
male,2016,-12.4801675967655
male,2017,-11.6875524592521
male,2018,-14.2803146585266
male,2019,-14.8124845740866
male,2020,-12.3905889517839
male,2021,-12.0962382906799
female,1950,19.5593653858116
female,1951,19.9037034870202
female,1952,18.4223441039751
female,1953,16.6144497075181
female,1954,15.0777695440123
female,1955,14.2564248461543
female,1956,13.9103556653852
female,1957,12.5423588097622
female,1958,12.4054779596808
female,1959,11.5599689551267
female,1960,11.1422314515526
female,1961,10.7495534376376
female,1962,10.2978293647843
female,1963,10.3371064759887
female,1964,11.5723051082883
female,1965,9.74537496882702
female,1966,7.97783157152652
female,1967,6.98723180719132
female,1968,5.92982011677201
female,1969,5.97895121716622
female,1970,5.69471854886174
female,1971,5.03626041405253
female,1972,5.29695893697817
female,1973,4.13351147635407
female,1974,4.12421212863708
female,1975,2.02111988473694
female,1976,2.29485483495366
female,1977,2.12137452623118
female,1978,1.25989327618438
female,1979,1.22736663530658
female,1980,0.707038584634607
female,1981,0.451161720553829
female,1982,0.656148532216454
female,1983,-0.514815176094326
female,1984,-0.620509373937463
female,1985,-0.439062328553586
female,1986,-0.989203828505495
female,1987,-1.06488768504164
female,1988,-0.680787781155137
female,1989,-0.2044339323868
female,1990,-0.704946336962554
female,1991,-1.5647329897307
female,1992,-1.15025948236704
female,1993,-0.572848150834007
female,1994,-1.66641907088819
female,1995,-0.658959568811309
female,1996,-1.21027066457629
female,1997,-2.55972867025625
female,1998,-2.75174483690963
female,1999,-3.71384689324314
female,2000,-4.87682719035013
female,2001,-5.48737748364421
female,2002,-7.12817118626183
female,2003,-7.0904425977581
female,2004,-7.06048555847968
female,2005,-6.99364182312509
female,2006,-9.11935956956644
female,2007,-8.62696106313757
female,2008,-9.3653778727611
female,2009,-10.4100937658799
female,2010,-10.636709835511
female,2011,-10.7558753181382
female,2012,-11.6641897528607
female,2013,-13.6932213826009
female,2014,-13.3294726125863
female,2015,-16.5945235232674
female,2016,-15.9398737635935
female,2017,-15.9234813886151
female,2018,-19.3284551189327
female,2019,-19.5936879908985
female,2020,-17.5684916743206
female,2021,-17.7408962413396
