year,q_0975,q_0500,q_0025,sex
2022,-9.22789540323829,-14.218489274258,-14.6669575935764,male
2023,-8.72980560994597,-15.4870660776487,-16.0755254758064,male
2024,-8.50899452684771,-16.4068956265501,-17.1262033517859,male
2025,-8.2035109889501,-17.2727887474159,-18.3552548870151,male
2026,-7.85934802645723,-17.8925881400309,-19.1680030167288,male
2027,-7.81237816743421,-18.7243672455202,-19.8070072927697,male
2028,-7.3828798842153,-19.4450030986751,-20.6036966779339,male
2029,-7.28790459292944,-19.9555756244556,-21.280442465976,male
2030,-7.51004966662076,-20.5918708805933,-22.0041880847634,male
2031,-7.57681083953406,-21.2051022221607,-22.712080770316,male
2032,-7.39504081561947,-21.887759954929,-23.1852646578651,male
2033,-7.3959486926254,-22.4862172939741,-23.9363111586036,male
2034,-7.17620689108798,-23.1564416211665,-24.5907769273193,male
2035,-7.4915994065628,-23.7728183508739,-25.3258430263267,male
2036,-7.59824661901437,-24.2876869256579,-25.8062971399491,male
2037,-7.57459132685841,-24.8355412852627,-26.4648814457974,male
2038,-7.62295833251948,-25.3677978006581,-26.7694724470444,male
2039,-7.92643297676305,-25.8650414501931,-27.4386856206584,male
2040,-7.76798714701585,-26.5211029685773,-27.7994940113848,male
2041,-8.26948515235044,-26.8988815867597,-28.416562596313,male
2042,-8.26433186382298,-27.3360934469122,-29.0679526176939,male
2043,-8.12964521234136,-27.9269571131294,-29.6971785156883,male
2044,-8.31832552455156,-28.5976520514463,-30.3329301529691,male
2045,-8.21015642926451,-29.1643026203505,-31.1763806977997,male
2046,-8.17514992622448,-29.6267040394662,-31.6633516575677,male
2047,-8.45681032711732,-29.870741559728,-32.1465711799634,male
2048,-8.59084739129468,-30.5676126547431,-32.6804863625512,male
2049,-8.55742166191066,-31.0560520606126,-32.9350536498863,male
2050,-9.06782509599241,-31.6552768789304,-33.6040927960524,male
2051,-9.09100741875676,-32.3071035569386,-34.2848633903902,male
2052,-9.3004130298708,-32.7381942050559,-34.84462968598,male
2053,-9.7599639511353,-33.5537956121116,-35.4291372378139,male
2054,-10.0458486364197,-33.6604589988228,-36.2348536988633,male
2055,-10.023819824326,-34.0996222757478,-36.1599907536486,male
2056,-9.90236960699,-34.5536283225233,-36.8285753171057,male
2057,-10.1063137456016,-34.815482696457,-37.0016080161318,male
2058,-10.0120433796021,-35.5478202463937,-37.4337433850853,male
2059,-9.98241985463824,-36.0896516865076,-38.5811934517245,male
2060,-10.3610226453049,-36.3478010822671,-38.5130590269667,male
2061,-10.602973697678,-36.9260807507052,-39.2595482488477,male
2062,-10.4837643599186,-37.7254388510121,-40.0460947926965,male
2063,-10.3923899725108,-38.070417137585,-40.2094240471662,male
2064,-10.8325609302451,-38.562250075962,-40.6368078380164,male
2065,-11.1264248485992,-38.7418919518472,-40.9624446499156,male
2066,-11.3465326030798,-39.2589594726441,-41.5044756547809,male
2067,-11.3571245558823,-39.9987281479106,-42.0532163257268,male
2068,-11.6566533243809,-40.2733018730072,-42.4745305246444,male
2069,-11.7288266853992,-40.8931492445864,-42.8979244018772,male
2070,-11.9991468588048,-41.1745320194518,-43.5647408599058,male
2071,-11.994703377793,-41.6999269026062,-44.1962215698444,male
2022,-14.9409297775869,-20.5393588620515,-21.0017150985292,female
2023,-14.5217879111438,-21.9523843964064,-22.8021431408612,female
2024,-14.3917813872424,-23.0756415929818,-23.8826933510039,female
2025,-14.235172650658,-24.1659362835327,-24.8139848547041,female
2026,-14.1272141206692,-25.298119683302,-26.0357450216977,female
2027,-14.0928223874237,-26.0252166411513,-27.0420157993813,female
2028,-14.2275149011644,-27.108510490216,-28.1896898522299,female
2029,-14.2706956729866,-27.8040460548407,-29.0752947058842,female
2030,-14.2961413635815,-28.7409964957452,-29.8971980765608,female
2031,-14.7575918814741,-29.6780578295048,-30.9253196559661,female
2032,-14.7765989089703,-30.3201556246574,-31.8804900459036,female
2033,-14.8499575677117,-31.1297128197717,-32.7805747945225,female
2034,-15.0545597144465,-32.2266642860002,-33.5133795499119,female
2035,-15.1112658134245,-33.0827179118387,-34.3433111828245,female
2036,-15.2741947925316,-33.8167529682678,-35.3351427923991,female
2037,-15.6364851042963,-34.6384345045277,-36.2981565287598,female
2038,-15.4172432048688,-35.504803350237,-37.1540106288467,female
2039,-15.5745924878418,-36.3654187136486,-38.1350950253148,female
2040,-15.7259763668064,-37.2429847752713,-39.0037785117014,female
2041,-16.1366297311684,-38.1514071835635,-39.8328901032415,female
2042,-16.1911504271756,-38.6080858448406,-40.6604424204032,female
2043,-16.6282583799462,-39.5892152070325,-41.7253423114712,female
2044,-16.7019687567038,-40.4108890837224,-42.3555730828693,female
2045,-16.9104284558449,-41.0572939074724,-43.099545736859,female
2046,-17.2904989323484,-41.8566760141438,-44.033861425994,female
2047,-17.5784048507095,-42.6298360770205,-45.0809273567074,female
2048,-17.985812346392,-43.2300800708589,-45.5511328890743,female
2049,-18.241129663287,-43.856955715741,-46.1862161789096,female
2050,-18.4906633164725,-44.5686003918416,-46.8984113347778,female
2051,-19.132597570229,-44.974569659539,-47.8368478767646,female
2052,-19.2567702782337,-45.6862967451576,-48.3803779357997,female
2053,-19.5183695253052,-46.566189957254,-48.9625310430718,female
2054,-19.7044138437199,-47.0080021819564,-49.7418593673756,female
2055,-19.894095416804,-47.5699063522413,-50.4236039416747,female
2056,-20.3760599984829,-48.37386029793,-51.2503933533268,female
2057,-20.3576032181201,-49.3120970426055,-51.8751340343252,female
2058,-20.5185804661435,-49.8334598585005,-52.7352387715454,female
2059,-21.1996928117586,-50.6636812357307,-53.3024017074326,female
2060,-21.5231850169814,-51.30267972339,-53.8426744751708,female
2061,-21.6045671370273,-51.9209476559183,-54.7939344930563,female
2062,-21.7492751911799,-52.7392840334408,-55.4207523494624,female
2063,-22.2367957660219,-53.5358974228091,-56.442358571651,female
2064,-22.6093278196821,-54.0736415009238,-57.1527753161108,female
2065,-22.7578304394679,-54.8944602149453,-57.8530902630835,female
2066,-23.1764205780355,-55.4417858949509,-58.6573684544142,female
2067,-23.6129919549156,-56.3780406704421,-59.1513714967153,female
2068,-23.7194890603954,-57.4605847421347,-59.8809676395726,female
2069,-24.3724938708257,-57.7887209987505,-60.5892030505993,female
2070,-24.9682617363229,-58.3639701675413,-61.1129932077061,female
2071,-25.317964290429,-59.3409372742338,-61.8941707556013,female
